ANIO,ID_PERSONA,LLAVE_ENTIDAD,LLAVE_MUNICIPIO,CLAVE_MUNICIPIO_INEGI(CLAVE_DE_AGEM),LLAVE_LOCALIDAD,CLAVE_LOCALIDAD_INEGI,ID_VIVIENDA,ID_HOGAR,LLAVE_COBERTURA,LLAVE_CLASEVIVIENDA,LLAVE_SEXO,LLAVE_PARENTESCO,LLAVE_IDENTMADRE,LLAVE_IDENTPADRE,LLAVE_PAIS_NAC,LLAVE_ENTIDAD_NAC,LLAVE_NACIONALIDAD,LLAVE_SERSALUD,LLAVE_AFRODES,LLAVE_REGISNAC,LLAVE_RELIGION,LLAVE_HLENGUA,LLAVE_LENGUAMAT,LLAVE_HESPANOL,LLAVE_ELENGUA,LLAVE_PERTEINDIGENA,LLAVE_ASISESCOLAR,LLAVE_PAIS_ASISESCOLAR,LLAVE_ENTIDAD_ASISESCOLAR,LLAVE_MUNICIPIO_ASISESCOLAR,LLAVE_TIETRASLADO_ESCOLAR,LLAVE_MEDTRASLADO_ESCOLAR,LLAVE_NIVACAD,LLAVE_CARRERA,LLAVE_ALFABETISMO,LLAVE_PAIS_RES5A,LLAVE_ENTIDAD_RES5A,LLAVE_MUNICIPIO_RES5A,LLAVE_CAUSAMIGRACION,LLAVE_SITUACONYUGAL,LLAVE_IDENTPAREJA,LLAVE_ACTPRIMARIA,LLAVE_OCUPACION,LLAVE_SITTRA,LLAVE_ACTECONOMICA,ACTIVIDAD_ECONOMICA_INEGI,LLAVE_PAIS_TRABAJO,LLAVE_ENTIDAD_TRABAJO,LLAVE_MUNICIPIO_TRABAJO,LLAVE_TIETRASLADO_TRABAJO,LLAVE_MEDTRASLADO_TRABAJO,LLAVE_TAMLOC,ESTRATO,UPM,FACTOR_EXP,NUMPERSONA,EDAD,ESCOLARIDAD,ESCOLARIDAD_ACUMULADA,INGRESO,HORAS_TRABAJADAS,HIJOS_NACIDOS,HIJOS_VIVOS,HIJOS_FALLECIDOS,MERCADO_TRABAJO_LOCAL
2000,200000000000000005280,1,17,1,170001,1.0,2000000000043960,2000000000000623.0,0,0,2,301,0,0,235,1,0,1,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,5,7,,1.0,,,0.0,,,,,1
2000,200000000000000005288,1,17,1,170001,1.0,2000000000046402,2000000000010328.0,0,0,2,201,0,0,235,32,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,18,0,1,235,1,17,0,8,0,1,96207,6,814,816.0,235,1,17,0,0,4,100101023,5,7,,49.0,0.0,0.0,0.0,48.0,8.0,8.0,1.0,1
2000,200000000000000005291,1,17,1,170001,1.0,2000000000048844,2000000000000625.0,0,0,2,201,0,0,235,1,0,10,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,8,0,1,96207,1,814,816.0,235,1,17,0,0,4,100101023,5,7,,50.0,6.0,6.0,643.0,35.0,2.0,2.0,0.0,1
2000,200000000000000005301,1,17,1,170001,1.0,2000000000051286,2000000000000626.0,0,0,2,301,0,0,235,1,0,7,0,0,1,2,0,0,0,3,1,601,0,0,0,0,2,0,1,235,2,31,0,9,0,8,0,0,999,,601,0,0,0,0,4,100101023,5,7,,15.0,6.0,6.0,0.0,,,,,1
2000,200000000000000005305,1,17,1,170001,1.0,2000000000053728,2000000000000627.0,0,0,1,301,0,0,235,1,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,9,0,6,0,0,999,,601,0,0,0,0,4,100101023,5,7,,15.0,6.0,6.0,0.0,,,,,1
2000,200000000000000005311,1,17,1,170001,1.0,2000000000056170,2000000000000628.0,0,0,2,301,0,0,235,1,0,9,0,0,1,2,0,0,0,3,1,601,0,0,0,0,1,0,2,235,1,17,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,5,7,,5.0,1.0,0.0,0.0,,,,,1
2000,200000000000000005315,1,17,1,170001,1.0,2000000000056170,2000000000000628.0,0,0,1,101,0,0,235,1,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,8,0,1,83401,1,484,483.0,601,0,0,0,0,4,100101023,5,7,,30.0,6.0,6.0,1714.0,33.0,,,,1
2000,200000000000000005317,1,17,1,170001,1.0,2000000000058612,2000000000000629.0,0,0,2,301,0,0,235,1,0,6,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,9,0,1,96203,1,561,562.0,235,1,17,0,0,4,100101023,5,7,,43.0,6.0,6.0,1360.0,48.0,1.0,1.0,0.0,1
2000,200000000000000005846,1,17,1,170001,1.0,2000000000065938,2000000000000632.0,0,0,1,101,0,0,235,1,0,2,0,0,1,2,0,0,0,3,2,601,0,0,0,0,3,0,1,235,1,17,0,1,0,1,41100,5,465,464.0,235,1,27,0,0,4,100101023,5,7,,27.0,2.0,8.0,2571.0,35.0,,,,1
2000,200000000000000005855,1,17,1,170001,1.0,2000000000068380,2000000000000633.0,0,0,2,201,0,0,235,32,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,8,0,6,0,0,999,,601,0,0,0,0,4,100101023,5,7,,42.0,2.0,2.0,0.0,,8.0,8.0,0.0,1
